so_question_id,so_answer_score,status,total_score,resource,fixture_type,penalty,d1,d2,d3,d4,d5,g3_pass,g4_new,question_raw
Nuwan Sameera,0,discard_score,1.35,Deployment,conceptual,0.3,1,2,2,1,3,True,False,"<p>I deployed apache ignite cluster in google cloud referring [1], but it given class not found error as follows.</p>
<p>[1]. <a href=""https://apacheignite.readme.io/docs/google-cloud-deployment"" rel="
curious_soul,0,discard_score,1.35,Deployment,relationship,0.3,1,2,3,1,1,True,False,<p>I need to create backups and restore for volumes in aws kubernetes cluster. I was reading about CSI driver in kubernetes docs. Though link below has mentioned the steps but I have few questions</p>
aronchick,0,accept,2.5,Namespace,followup,0.0,3,3,2,1,3,True,True,"<p>Copied from here: <a href=""https://github.com/kubeflow/pipelines/issues/7608"" rel=""nofollow noreferrer"">https://github.com/kubeflow/pipelines/issues/7608</a></p>
<p>I have a generated code file tha"
trouphaz,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,<p>Is it possible to programatically set the sourcetype to be the namespace from where the logs were generated?  I am using the fluentd plugin to send data to the Splunk http event collector.  Elsewhe
Rameish,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Is there a way to connect C# Thick Client running in the Windows Machine outside of the Kubernetes with Apache Ignite Cluster nodes are present in the Kubernetes.</p>
<p>Below specified article say"
Nathan Long,0,accept,2.0,Service,relationship,0.3,2,3,3,1,2,True,False,"<p>I'm working locally (within Docker for Mac) on a Kubernetes cluster that will eventually be deployed to the cloud. We plan to use a database service in that environment. To simulate that, I'd like "
Mark Vincze,0,discard_score,1.45,Service,followup,0.3,2,2,2,1,1,True,False,"<p><strong>Background</strong></p>
<p>On the Google Kubernetes Engine we've been using Cloud Endpoints, and the Extensible Service Proxy (v2) for service-to-service authentication.</p>
<p>The services"
Nathan Long,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>In Kubernetes, when a Pod repeatedly crashes and is in <code>CrashLoopBackOff</code> status, it is not possible to shell into the container and poke around to find the problem, due to the fact that"
user791134,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have a hard requirement to use a single ELB Classic (CLB) load balancer. Can a single ELB Classic (CLB) distribute traffic between two different Auto Scaling Groups, both running the same applica"
Pablo Fernandez,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I'm following <a href=""https://cloud.google.com/python/django/kubernetes-engine"" rel=""nofollow noreferrer"">the tutorial on how to deploy a Django application to the Kubernetes Engine</a> in the Goo"
Sayon,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I was trying to reduce the production of logs in splunk. when i tried to reduce the logs by using below query i was getting a large number of log entries</p>
<pre><code>Spunk query: (source!=&quot;"
Meshu Deb Nath,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p><a href=""https://i.stack.imgur.com/szaBC.png"" rel=""nofollow noreferrer"">enter image description here</a></p>
<p><code>Operation failed. Check pod logs for install-runner for more details.</code></p"
Rakshith Venkatesh,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am currently using Kubernetes Python SDK to fetch relevant information from my k8s cluster. I am running this from outside the cluster.</p>

<p>I have a requirement of fetching the images of all "
Michael.Sun,0,discard_score,1.7,Pod,followup,0.0,2,1,2,1,3,True,True,"<p>I have a Kubernetes v1.10.2 cluster and a cronjob on it.
The job config is set to:</p>

<pre><code>   failedJobsHistoryLimit: 1
  successfulJobsHistoryLimit: 3
</code></pre>

<p>But it has created "
wowza_MAN,0,discard_score,1.5,Service,followup,0.3,1,3,2,1,2,True,False,"<p>I have an application that gets deployed from a docker image to a Kubernetes pod. Inside of my docker image I run the following command</p>
<pre><code>FROM openjdk:17.0.1-slim

USER root

WORKDIR /"
soapergem,0,discard_score,1.6,Ingress,followup,0.3,3,1,2,1,2,True,False,<p>I have a simple website running in my Kubernetes cluster and exposed to the Internet using Traefik. My Ingress object looks like this (the only things I've changed here are the name and domain name
Anvesh Muppeda,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am using Clair for Vulnerability checks in my harbor.</p>
<p>Services like Clair that have thousands of hosts continually hitting the hosting git server(<a href=""https://git.launchpad.net/ubuntu-"
Y.hadj.younes,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am using docker to run my java war application and when I run the container I got this exception <strong>java.net.BindException: Address already in use</strong> .</p>
<p>The container expose port"
Chris Halcrow,0,discard_score,1.2,Deployment,conceptual,0.3,2,1,2,1,1,True,False,"<p>I have an app running in a kubernetes managed docker container, using Azure Kubernetes Service (AKS). I can output logs to a text file for the app deployment using:</p>
<pre><code>kubectl logs depl"
Simple Fellow,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I've placed a docker compose file <strong>project.yaml</strong> at the location /etc/project/project.yaml</p>
<p>the file and well as the project directory have the same file permission, i.e. -rxwr"
Mark Jaffe,0,discard_g2,0.0,Configmap,conceptual,0.0,0,0,0,0,0,True,True,"<p>When deploying the app, certain environment-specific settings need to be applied to the server.xml, which cannot be applied when the container is built. Has anyone tried using a volume_mounted conf"
Arghya Roy,0,discard_score,1.6,Deployment,followup,0.3,1,3,2,1,3,True,False,"<p>I have started to learn GitOps ArgoCD. I have one basic doubt. I am unable to test ArgoCD because I do not have any Cluster. It will be so kind of you if you can clear my doubts.</p>
<ol>
<li>As an"
Ankit Bansal,0,review,1.9,Pod,conceptual,0.0,2,1,3,1,3,True,True,"<p>I have a spring-boot application running over Kubernetes, Now I am trying to set up a horizontal pod auto scaler.</p>
<p>I have one doubt, without modifying any autoscalar thresholds, does auto sca"
chilu,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am not able to attach to a container in a pod. Receiving below message
Error from server (Forbidden): pods ""sleep-76df4f989c-mqvnb"" is forbidden: cannot exec into or attach to a privileged contai"
Alex T,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>So I am running Django App in kubernetes pod at when trying to save an image file:</p>
<pre><code>img_obj.image.save(img_file, File(img_file_org))
</code></pre>
<p>I am getting no space left error:"
confusedWarrior,0,discard_score,1.1,Deployment,followup,0.3,1,1,2,1,3,True,False,"<p>I have node.js application that I need to deploy to exising kubernetes cluster.</p>
<p>The cluster is setup using <code>kops</code> on AWS.</p>
<p>I have created <code>.gitlab-ci.yml</code> file fo"
Mugen,0,discard_score,1.6,Deployment,conceptual,0.3,1,3,2,1,3,True,False,"<p>I have a couple of client applications. For each one I have a build pipeline that gets latest code, compiles it and plots the result to a <code>dist</code> folder (containing only html and js files"
Abhi,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Currently, I have two microservices. I want to send message to KubeMQ Queue from first microservice and want it to be received by Second microservice. I am able to send message to a KubeMQ Queue us"
user1314147,0,discard_score,1.15,Ingress,conceptual,0.3,1,2,2,1,1,True,False,"<p>Hi I am at a loss when it comes to configuring OIDC (Keycloak) with MinIO (both are deployed on same AKS cluster). I have configured an Ingress for both, both use the same wildcard cert that I got "
ERJAN,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I tried following the instructions from the official documentation page of &quot;<strong>Operator SDK</strong>&quot;. The device I'm trying to install it on is running on Windows 10, AMD64. I insta"
Tom Williams,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>i am trying to create a Kubernetes cluster with the intention of hosting a docker registry, but after installing kubectl (via homebrew on Mac) along with minikube i am getting <code>The connection "
Daniel Taub,0,review,1.9,Ingress,yaml_gen,0.3,3,1,3,1,3,True,False,"<p>I'm facing an issue with <a href=""https://github.com/oauth2-proxy/manifests/tree/main/helm/oauth2-proxy"" rel=""nofollow noreferrer"">oauth2 proxy</a> and Ingress Nginx (with the latest versions) in a"
Ufder,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I was trying to create a namespace using <code>kubectl</code>, but I got this error:</p>

<blockquote>
  <p>Error from server (Forbidden): error when creating ""namespacefoo"": namespaces is forbidde"
Maria628,0,review,1.8,Service,yaml_gen,0.3,3,1,3,1,2,True,False,<p>i am trying deploy a simple python flask application in digital ocean Kubernetes cluster using below deployment and service configuration. flask app is using 8080 port while running the code and sa
pwoltschk,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have setup a kubernetes cluster with 2 <code>master</code> nodes and 4 <code>worker nodes</code>, I am trying to do an etcd backup
as described in the documentation inside my etcd container.</p>
"
PRUDHVI CHOWDHARY NEKKALAPUDI,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p><a href=""https://i.stack.imgur.com/IOowW.png"" rel=""nofollow noreferrer"">looks like this</a>
using windows version 10,
docker for windows(docker verion) : 18.09.2</p>

<p>how to resolve this issue ?"
nichoio,0,discard_score,1.55,Ingress,yaml_gen,0.3,1,2,3,1,3,True,False,"<p>I use <a href=""https://github.com/kubernetes/ingress-nginx"" rel=""nofollow noreferrer"">Ingress-nginx</a> and I need to rewrite the <code>Host</code> header sent to the proxied Kubernetes Service bas"
gregory112,0,discard_score,1.25,Service,followup,0.3,1,2,2,1,2,True,False,"<p>I'm new to DevOps specifically using golang and microservice architecture.</p>
<p>I'm wondering if go applications should or should not be deployed in containers (Docker). In this case, I have a sy"
Leonel Franchelli,0,review,1.8,Service,conceptual,0.3,2,3,2,1,2,True,False,"<p>is it possible to chain requests through multiple backends with the new <a href=""https://gateway-api.sigs.k8s.io/"" rel=""nofollow noreferrer"">https://gateway-api.sigs.k8s.io/</a> ?</p>
<p>The idea i"
HamiBU,0,accept,2.05,Pod,yaml_gen,0.3,3,2,3,1,2,True,False,<p>I have downloaded the kubernetes from GitHub and now I want to run it from the downloaded file not from GitHub. Could you please help me? </p>
Christian Ammer,0,review,1.9,Job,conceptual,0.3,2,3,2,1,3,True,False,"<p>Under Linux it's possible to read the control file <code>memory.usage_in_bytes</code> <a href=""https://www.kernel.org/doc/Documentation/cgroup-v1/memory.txt"" rel=""nofollow noreferrer"">for Control G"
Peter Penzov,0,discard_g2,0.0,Configmap,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have a kubernetes pod which is based on spring boot. Locally I can start jar file with external file with this commands:</p>
<pre><code>java -jar app.jar --spring.config.location=file:///Users/ho"
Farshid,0,discard_score,1.75,Deployment,yaml_gen,0.3,2,2,3,1,2,True,False,"<p>When I want to generate yaml by running <code>kubectl</code>, it denotes that I should denote <code>--generator=something</code> flag within the command.</p>

<p>For example, to get the deployment "
edselwang,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have two containers，maybe A and B, which A should run before B, but A is a server application, which the final type is Running but not Complete, so I wonder in this way, will B be never executed?"
cozzymotto,0,discard_g3,0.0,Ingress,conceptual,0.0,0,0,0,0,0,False,True,"<p>So I am having an issue with prefect-server UI connecting to my API within my kubernetes environment. I am using a nginx as my ingress.</p>
<p>I have my ingress configuration for the prefect-server"
user1578872,0,discard_g2,0.0,Configmap,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have a few questions regarding the configMap versioning.</p>
<ol>
<li><p>Is it possible to use a specific version of a configMap in the deployment file?</p>
</li>
<li><p>I don't see any API's to "
Yoda,0,discard_score,1.55,Deployment,yaml_gen,0.3,1,2,3,1,3,True,False,"<h1>How to deploy dash/flask applications on kubernetes</h1>
<p>I have developed a dash application consisting of three main components:</p>
<ol>
<li>A python backend script</li>
<li>A flask webserver"
user674669,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am trying to run a kubernetes cluster on mac os for some prototyping using docker (not vagrant or virtualbox). </p>

<p>I found the instructions online at <a href=""https://github.com/kubernetes/k"
MoneyBall,0,accept,2.25,PersistentVolume,followup,0.0,3,2,2,1,3,True,True,"<p>I am using clickhouse database and data are stored at <code>/media/user/data/clickhouse</code> and <code>/media/user/data/clickhouse-server</code>. When I run a docker container</p>
<pre><code>$ do"
garfiny,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am trying to setup a spark cluster on k8s. I've managed to create and setup a cluster with three nodes by following this article: 
<a href=""https://kubernetes.io/docs/setup/independent/create-clu"
David Parks,0,accept,2.25,Pod,followup,0.0,3,2,2,1,3,True,True,"<p>I'm running a Nextflow workflow using the Kubernetes executor in a shared cluster that cannot allow privileged containers for security reasons.</p>
<p>When I run my nextflow workflow I get the erro"
crossvalidator,0,review,1.8,Deployment,conceptual,0.3,2,3,2,1,2,True,False,<p>I am trying to understand the Gitlab K8s agent. But it looks like it requires the developer to commit changes to a manifest file before it can deploy them to K8s. This is a challenge when trying to
larsks,0,discard_score,1.55,Secret,relationship,0.3,1,2,3,1,3,True,False,"<p>We have been happily using ArgoCD with public repositories for a while, but we've run into problems trying to connect ArgoCD to a private repository. We have an <code>Application</code> that looks "
aisensiy,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am serving jupyter notebook through a Kubernetes cluster. And I've set <code>resources.limits</code> to prevent someone from draining all of the host servers memory. </p>

<p>While one problem is"
srikanth,0,review,1.8,Deployment,conceptual,0.3,2,3,2,1,2,True,False,"<p>I know continuous deployment can be done via spinnaker like Blue/Green, Canary Deployment etc 
but my question how does it differ from other GitOps tools like WeaveWorks Flux ? 
Does both solve the"
zillani,0,discard_score,1.4,Node,conceptual,0.3,2,1,2,1,3,True,False,"<p>If there is an update in the docker image, rolling update strategy will update all the pods one by one in a daemonset, similarly is it possible to restart the pods gracefully without any changes th"
Elias Arellano,0,discard_score,1.4,Service,conceptual,0.3,1,3,2,1,1,True,False,"<p>I'm trying to install Gitlab Runner inside my cluster in Azure Kubernetes Service (AKS), but I have 2 errors:</p>
<ol>
<li><p>Helm Tiller doesn't appear in the application list of Gitlab CI:
Most o"
ravi karthik bodicherla,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I am able to install kubernetes using kubeadm method successfully. My environment is behind a proxy. I applied proxy to system, docker and I am able to pull images from Docker Hub without any issue"
guettli,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Imagine you want to get kind/struct called <code>KubeadmControlPlane</code> from the kubernetes API server.</p>
<p>This means you need to import the related struct into your code.</p>
<p>A matching"
Eugen Gîrlescu,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have a war file that I deployed with Tomcat.<br />
I have a Dockerfile and at the end I build a kubernetes pod.</p>
<p>The problem is that if my property files from my app do exist in the path: <"
Alamgir Qazi,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Here's the full error <code>Unable to connect to the server: dial tcp [::1]:8080: connectex: No connection could be made because the target machine actively refused it.</code></p>

<p>Here's my Kub"
HelmBurger,0,review,1.9,Namespace,conceptual,0.0,1,3,2,1,3,True,True,"<p>I have Gitlab Kubernetes integration in my <code>Project 1</code> and I am able to access the <code>kube-context</code> within that project's pipelines without any issues.</p>
<p>I have another pro"
Apurva Singh,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I need an Akka cluster to run multiple CPU intensive jobs. I cannot predict how much CPU power I need. Sometimes load is high, while at other times, there isn't much load. I guess autoscaling is a "
Яков Грищенко,0,discard_score,1.45,Service,relationship,0.3,1,2,3,1,2,True,False,<p>I developed service which listen 0.0.0.0:8080. When I run app local it works and i can connect by browser. I push it in image to dockerhub. By this image I created pod and service in my mini kube c
Jim_Brent,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,<p>I have search the Helm documentation and this forum as well as others and see no way to print out or list the environment variables that Helm uses... In the docs it states that you can set env vars
ozgeneral,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,<p>Popular version control servers (like github) are likely having an immense amount of traffic and need a scalable &amp; durable data storage. I was wondering how is this implemented in the backgroun
TechEnthu,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I'm currently learning Kubernetes as part of a project and facing a small hurdle which I hope you guys can help me in crossing.</p>
<p>The ask is to build a docker application that can be accessed "
Srinivasa Rao,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>Microk8s is installed on default port 16443. I want to change it to 6443. I am using Ubuntu 16.04. I have installed microk8s using snapd and conjure-up.</p>

<p>None of the following options I have"
rayhan,0,discard_score,1.7,Job,conceptual,0.3,1,3,3,1,2,True,False,"<p>I want my pods to be gracefully recycled from my deployments after certain period of time such as every week or month. I know I can add a cron job for that if I know the Kubernetes command. </p>

<"
Vincenzo,0,discard_score,1.6,Deployment,followup,0.3,3,1,2,1,2,True,False,<p>I'm starting in Kubernetes and I'm trying to update the Image in DockerHub that is used for the Kubernetes's Pod creation and then with <code>kubectl rollout restart deployment deploymentName</code
nagendra547,0,discard_g3,0.0,Ingress,conceptual,0.0,0,0,0,0,0,False,True,"<p>I have configured the following ingress for traefik but traefik is sending the entire traffic to app-blue-release.  Ideally it should send only 30% traffic to blue and 70% traffic to green, but it'"
ahmokhtari,0,discard_score,1.65,Pod,conceptual,0.0,1,2,2,1,3,True,True,<p>I'm looking to find a way to write a scaler for my application which is running on Minikube to scale it up and down based on Time Stamps. Any idea?</p>
edmamerto,0,discard_score,1.25,Node,conceptual,0.3,1,2,2,1,2,True,False,"<p>I checked the pods in the kube-system namespace and noticed that some pods share the same ip address.The pods that share the same ip address appear to be on the same node.</p>

<p><a href=""https://"
David Parks,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>We are using <a href=""https://github.com/uber/kraken"" rel=""nofollow noreferrer"">Uber Kraken</a> to increase container download speeds in a kubernetes cluster, it works great.</p>
<p>However, we com"
Sarita Singe,0,discard_score,1.3,Job,conceptual,0.3,2,1,2,1,2,True,False,"<p>In, nomad, we have an env variable named NOMAD_ALLOC_INDEX, that gives me the index of the container, is there a similar env variable in Kubernetes for the pods to get the pod index?</p>
<p>Could y"
PatPanda,0,accept,2.15,Pod,conceptual,0.0,2,2,3,1,3,True,True,"<p>Small question regarding Kubernetes and how one pod can talk to another pod (two pods in total) when they are in one same namespace, hopefully without a very complex solution.</p>
<p>Setup:
I have "
muzafarow,0,review,1.9,Pod,conceptual,0.0,2,1,3,1,3,True,True,"<p>I'm trying to figure out, what is import/export best practices in K8S keycloak(version 3.3.0.CR1). Here is keycloak official page <a href=""http://www.keycloak.org/docs/2.0/server_admin_guide/topics"
Dimitrios,0,discard_g3,0.0,Pod,conceptual,0.0,0,0,0,0,0,False,True,"<h3>TL;DR</h3>
<p>java.net.SocketException: Network is unreachable (connect failed) in simple Kubernetes pod that can curl to the internet.</p>
<h3>Short Description</h3>
<p>I've setup a simple Job ob"
Thomas Decaux,0,discard_g2,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p><strong>Use case</strong></p>

<p>""I want to deploy elasticsearch + kibana, by using elastic official helm charts. I want to create a helm chart called data-viz with these charts as dependency.""</p"
Chronograph3r,0,discard_score,0.9,Deployment,conceptual,0.3,1,1,2,1,1,True,False,"<p>I would like to setup the AutoDevops functionality of Gitlab CI/CD, and for that  I am trying to setup the existing kubernetes cluster as my environment. </p>

<p>However, the Gitlab requires Kuber"
Antoine C.,0,review,1.9,Deployment,followup,0.3,2,3,2,1,3,True,False,"<p>I am setting up Github Actions for a project repository. </p>

<p>The workflow consists of the following steps:</p>

<ul>
<li>Building a docker image </li>
<li>Pushing the image to a container regi"
user9468014,0,discard_score,1.6,Ingress,followup,0.3,1,3,2,1,3,True,False,<p>so basically i changed my website to a new kubernetes cluster. Now it is necessary to enable RBAC. The pipeline runs without any errors but unfortunately the certmanager SSH doesn't work anymore. I
AATHITH RAJENDRAN,0,review,1.9,Deployment,conceptual,0.3,2,3,2,1,3,True,False,"<p>I want to create a deployment with GitHub URL using<br>
<code>kubectl create -f github.com/deployment.yaml</code><br>
That <code>deployment.yaml</code> file is located in  my private GitHub reposit"
Arkon,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>In the following scenario:</p>

<ol>
<li>Pod X has a toleration for a taint</li>
<li>However node A with such taint does not exists</li>
<li>Pod X get scheduled on a different node B in the meantim"
Harsh Manvar,0,review,1.9,Deployment,conceptual,0.3,2,3,3,1,1,True,False,"<p>I am using cloud build and GKE k8s cluster and i have setup CI/CD from github to cloud build.</p>

<p>I want to know is it good to add CI build file and Dockerfile in the repository or manage confi"
Jorge,0,discard_g2,0.0,Cronjob,conceptual,0.0,0,0,0,0,0,True,True,"<p>I have an app running with Docker and the .git directory is ignored to reduced the project's size.</p>

<p>The problem is that every time an artisan command is ran this message is displayed and sto"
John Balvin Arias,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I'm using Docker to create a container application and then deploy it to <a href=""https://cloud.google.com/kubernetes-engine/"" rel=""noreferrer"">kubernetes engine</a> but when the application is bee"
Kingsley Okoro,0,discard_score,1.4,Job,conceptual,0.3,2,1,2,1,3,True,False,"<p>I am tasked with building a new relic chart to show gitlab runner job count over time.
I am trying to determine what type of object is a gitlab runner job. Is is a deployment, a pod or a statefulse"
bran,0,discard_g1,0.0,,conceptual,0.0,0,0,0,0,0,True,True,"<p>I use the command <code>docker container update --cpus 1 target_container</code> to update the setting. But in most cases it not working and response ""you must provide one or more flags when using "
Sirish,0,discard_score,1.7,Deployment,followup,0.3,2,3,2,1,1,True,False,<p>We have a Keycloak 15.1.1 deployment on Kubernetes with multiple replicas with the AWS RDS Postgres 13 Database backend. I did not find any upgrade guide or experience of other people regarding thi
userMod2,0,discard_g3,0.0,Pod,conceptual,0.0,0,0,0,0,0,False,True,"<p>I'm running a Ruby app on Kubernetes with Minikube. </p>

<p>However, whenever I look at the logs I don't see the output I would have seen in my terminal when running the app locally.</p>

<p>I pre"
Coding Ninja,0,review,1.85,Pod,conceptual,0.0,2,2,2,1,2,True,True,"<p>Are the resources released once the kube job is finished?</p>

<p>I mean the associated pod resources, let say a job is run to completion and the associated pod is in a completed state, which was a"
